Company,Website Homepage,Company About Us/ Overview,Career Page,,,,,,,,,,,,,,,,,
Fiji Airways,https://www.fijiairways.com/en-fj/?utm_source=browser,https://www.fijiairways.com/en-fj/about-fiji-airways/our-history/,https://www.fijiairways.com/en-fj/about-fiji-airways/our-team/,,,,,,,,,,,,,,,,,
Air Asia,https://www.airasia.com/en/gb,https://newsroom.airasia.com/,https://careers.airasia.com/,,,,,,,,,,,,,,,,,
Air India,http://www.airindia.in/,http://www.airindia.in/about-airindia.htm,http://www.airindia.in/careers.htm,,,,,,,,,,,,,,,,,
WestJet,https://www.westjet.com/en-us/index,https://www.westjet.com/en-us/about-us/index,https://career4.successfactors.com/career?company=WestJet&site=VjItUnUyR1hvaHNudXZSOFFoaDZWYUtYQT09,,,,,,,,,,,,,,,,,
RyanAir,https://www.ryanair.com/us/en,https://corporate.ryanair.com/,https://careers.ryanair.com/,,,,,,,,,,,,,,,,,
BAE Systems (US Based),https://www.baesystems.com/en/home,https://www.baesystems.com/en/our-company/about-us,https://jobs.baesystems.com/global/en,,,,,,,,,,,,,,,,,
BAE Systems (Global),https://www.baesystems.com/en/home,https://www.baesystems.com/en/our-company/about-us,https://www.baesystems.com/en/careers,,,,,,,,,,,,,,,,,
Loft Orbital,https://www.loftorbital.com/,https://www.loftorbital.com/#about,https://www.loftorbital.com/careers,,,,,,,,,,,,,,,,,
Made in Space Inc.,https://madeinspace.us/,https://madeinspace.us/about/,https://madeinspace.us/careers/,,,,,,,,,,,,,,,,,
Planet Labs,https://www.planet.com/,https://www.planet.com/company/approach/,https://www.planet.com/company/careers/,,,,,,,,,,,,,,,,,
Astranis,https://www.astranis.com/,https://www.astranis.com/team,https://www.astranis.com/careers,,,,,,,,,,,,,,,,,
Astra ,https://astra.com/,https://astra.com/welcome/,https://astra.com/careers/,,,,,,,,,,,,,,,,,
Accion Systems,https://accion-systems.com/,https://accion-systems.com/about-accion/,https://accion-systems.com/about-accion/careers/,,,,,,,,,,,,,,,,,
Hiber,https://hiber.global/,https://hiber.global/about/,https://hiber.recruitee.com/,,,,,,,,,,,,,,,,,
Xplore,https://www.xplore.com/,https://www.xplore.com/press.html,https://www.xplore.com/careers.html,,,,,,,,,,,,,,,,,
Infinite Composites Technologies,https://www.infinitecomposites.com/,https://www.infinitecomposites.com/about-us,https://www.infinitecomposites.com/careers,,,,,,,,,,,,,,,,,
Viasat,https://www.viasat.com/,https://www.viasat.com/about,https://careers.viasat.com/,,,,,,,,,,,,,,,,,
PowerMarket,https://powermarket.io/,https://powermarket.io/about.html,https://powermarket.io/solarScholars.html,,,,,,,,,,,,,,,,,
D-Orbit,https://www.dorbit.space/,https://www.dorbit.space/about-us,https://www.dorbit.space/careers,,,,,,,,,,,,,,,,,
Altius Space Machines,https://altius-space.com/,https://altius-space.com/story.html,https://altius-space.com/careers.html,,,,,,,,,,,,,,,,,
Final Fronteir Design,http://www.finalfrontierdesign.com/what-we-make,http://www.finalfrontierdesign.com/research-development,http://www.finalfrontierdesign.com/contact,,,,,,,,,,,,,,,,,
Momentus,https://momentus.space/,https://momentus.space/vision/,https://jobs.lever.co/momentusspace,,,,,,,,,,,,,,,,,
Skylo,https://www.skylo.tech/,https://www.skylo.tech/solutions,https://www.skylo.tech/solutions#Contact,,,,,,,,,,,,,,,,,
Spire,https://spire.com/,https://spire.com/about-us/,https://spire.com/careers/,,,,,,,,,,,,,,,,,
SpinLaunch,https://www.spinlaunch.com/,https://en.wikipedia.org/wiki/SpinLaunch,https://boards.greenhouse.io/spinlaunch,,,,,,,,,,,,,,,,,
Capella Space,https://www.capellaspace.com/,https://www.capellaspace.com/about-us/,https://www.capellaspace.com/contact/,,,,,,,,,,,,,,,,,
Moon Express,https://moonexpress.com/,https://moonexpress.com/,https://moonexpress.com/,,,,,,,,,,,,,,,,,
Aaris Composites,https://arriscomposites.com/,https://arriscomposites.com/about/,https://arriscomposites.com/jobs/,,,,,,,,,,,,,,,,,
Astro Digital,https://astrodigital.com/,https://astrodigital.com/services,https://astrodigital.com/careers,,,,,,,,,,,,,,,,,
Rolls Royce Engines,https://www.rolls-royce.com/products-and-services/civil-aerospace.aspx,https://www.rolls-royce.com/products-and-services/defence/aerospace.aspx,https://careers.rolls-royce.com/usa,,,,,,,,,,,,,,,,,
Collins Aerospace,https://www.collinsaerospace.com/en,https://www.collinsaerospace.com/what-we-do,https://jobs.collinsaerospace.com/,,,,,,,,,,,,,,,,,
Honeywell Aerospace,https://aerospace.honeywell.com/en,https://aerospace.honeywell.com/en/learn/about-us/about-honeywell-aerospace,https://careers.honeywell.com/us/en/,,,,,,,,,,,,,,,,,
Aerojet Rocketdyne,https://www.rocket.com/,https://www.rocket.com/who-we-are,https://www.rocket.com/students,,,,,,,,,,,,,,,,,
Pratt & Whitney,https://prattwhitney.com/,https://prattwhitney.com/company/about-pratt-and-whitney,https://prattwhitney.com/careers,,,,,,,,,,,,,,,,,
L3Harris,https://www.l3harris.com/,https://www.l3harris.com/about-us,https://www.l3harris.com/careers,,,,,,,,,,,,,,,,,
Universal Avionics,https://www.uasc.com/home,http://www.uasc.com/home/company/about-us,https://uasccareers.silkroad.com/,,,,,,,,,,,,,,,,,
Safran,https://www.safran-group.com/,https://www.safran-group.com/group-0#1,https://www.safran-group.com/students/Student,,,,,,,,,,,,,,,,,
Thales Group,https://www.thalesgroup.com/en,https://www.thalesgroup.com/en/global/about-us,https://www.thalesgroup.com/en/career,,,,,,,,,,,,,,,,,
Dassault Aviation,https://www.dassault-aviation.com/en/,https://www.dassault-aviation.com/en/group/about-us/,https://www.dassault-aviation.com/en/group/careers/,,,,,,,,,,,,,,,,,
Elbit Systems,https://elbitsystems.com/,https://elbitsystems.com/about-us-introduction/,https://elbitsystems.com/careers/,,,,,,,,,,,,,,,,,
Spirit Aerosystems,https://www.spiritaero.com/,https://www.spiritaero.com/company/overview/overview,https://www.spiritaero.com/careers/careers-overview/,,,,,,,,,,,,,,,,,
Masten Space Systems,https://www.masten.aero/,https://www.masten.aero/company,https://www.masten.aero/fulltime,,,,,,,,,,,,,,,,,
Abl Space Systems,https://ablspacesystems.com/,https://ablspacesystems.com/company/,https://ablspacesystems.com/company/,,,,,,,,,,,,,,,,,
Relativity,https://www.relativityspace.com/,https://www.relativityspace.com/mission,https://www.relativityspace.com/careers,,,,,,,,,,,,,,,,,
Firefly Aerospace,https://firefly.com/,https://firefly.com/about/,https://firefly.com/careers/,,,,,,,,,,,,,,,,,
Rocket Lab,https://www.rocketlabusa.com/,https://www.rocketlabusa.com/about-us/,https://www.rocketlabusa.com/careers/positions/,,,,,,,,,,,,,,,,,
Airbus Vahana,https://acubed.airbus.com/projects/vahana/,https://acubed.airbus.com/about-us/,https://acubed.airbus.com/careers/,,,,,,,,,,,,,,,,,
Aurora eVTOL,"https://www.aurora.aero/pav-evtol-passenger-air-vehicle/#:~:text=PAV%20is%20an%20eVTOL%20(electric,safer%2C%20quieter%2C%20and%20cleaner.&text=PAV%20is%20able%20to%20autonomously,detect%20and%20avoid%20unexpected%20obstacles.",https://www.aurora.aero/about-aurora/,https://www.aurora.aero/careers/,,,,,,,,,,,,,,,,,
Bell Flight,https://www.bellflight.com/products/bell-nexus,https://www.bellflight.com/company/about,https://www.bellflight.com/company/careers,,,,,,,,,,,,,,,,,
Kittyhawk,https://kittyhawk.aero/,https://kittyhawk.aero/press/,https://kittyhawk.aero/careers/,,,,,,,,,,,,,,,,,
Ehang,https://www.ehang.com/ehangaav,https://www.ehang.com/about/,https://www.ehang.com/hr/,,,,,,,,,,,,,,,,,
Joby Aviation,https://www.jobyaviation.com/,https://www.jobyaviation.com/#about,https://careers-jobyaviation.icims.com/jobs/intro?hashed=-625979065&mobile=false&width=1140&height=500&bga=true&needsRedirect=false&jan1offset=-480&jun1offset=-420,,,,,,,,,,,,,,,,,
Lilium Jet,https://lilium.com/the-jet,https://lilium.com/about-us,https://lilium.com/careers,,,,,,,,,,,,,,,,,
Volocopter,https://www.volocopter.com/en/,https://www.volocopter.com/en/company/,https://www.volocopter.com/en/career/,,,,,,,,,,,,,,,,,
Moog,https://www.moog.com/innovation/aircraft/SureFly.html,https://www.moog.com/news.html,https://www.moog.careers/,,,,,,,,,,,,,,,,,
Opener,https://www.opener.aero/,https://www.opener.aero/about-us/,https://www.opener.aero/careers/,,,,,,,,,,,,,,,,,
Overair,https://overair.com/,https://evtol.news/karem-butterfly/,https://overair.com/jobs,,,,,,,,,,,,,,,,,
EmbraerX,https://embraerx.embraer.com/global/en,https://embraerx.embraer.com/global/en/about,https://embraer.com/global/en/join-us,,,,,,,,,,,,,,,,,
Pipistrel eVTOL,https://www.pipistrel-aircraft.com/,https://www.pipistrel-aircraft.com/about-us/,https://www.pipistrel-aircraft.com/jobs/,,,,,,,,,,,,,,,,,
Arcturus UAV,https://arcturus-uav.com/,https://arcturus-uav.com/products,https://arcturus-uav.com/careers,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Private Jet:,,,,,,,,,,,,,,,,,,,,
TAG Aviation,https://www.tagaviation.com/en/,https://www.tagaviation.com/en/about-us/,https://www.tagaviation.com/en/about-us/our-jobs/,,,,,,,,,,,,,,,,,
